ID	DOCULECT	CONCEPT	VALUE	TOKENS	COGIDS	NOBORID
1461	Beijing	I	uo²¹³	w o ²¹³	313	1
1462	Ha_erbin	I	uo²¹³	w o ²¹³	313	1
1463	Jinan	I	vɔ⁴⁵	v ɔ ⁴⁵	313	1
1464	Rongcheng	I	uɔ²¹⁴	w ɔ ²¹⁴	313	1
1465	Taiyuan	I	ɣɤ⁵³	ɣ ɤ ⁵³	313	1
1466	Xi_an	I	ŋɤ⁵³	ŋ ɤ ⁵³	313	1
1467	Chengdu	I	ŋo⁵³	ŋ o ⁵³	313	1
1468	Nanjing	I	o¹¹	o ¹¹	313	1
1469	Jixi	I	ɔ²¹³	ɔ ²¹³	313	1
1470	Suzhou	I	ŋəu²³¹	ŋ əu ²³¹	313	1
1471	Wenzhou	I	ŋ̍²⁴	ŋ̍ ²⁴	313	1
1472	Changsha	I	ŋo⁴¹	ŋ o ⁴¹	313	1
1473	Loudi	I	ŋ̍⁴²	ŋ̍ ⁴²	313	1
1474	Nanchang	I	ŋo²¹³	ŋ o ²¹³	313	1
1475	Meixian	I	ŋai¹¹	ŋ ai ¹¹	313	1
1476	Guilin	I	uo²³	w o ²³	313	1
1477	Guangzhou	I	ŋɔ²³	ŋ ɔ ²³	313	1
1478	Fuzhou	I	ŋuai³²	ŋ w ai ³²	313	1
1479	Xiamen	I	ŋua⁵³	ŋ w a ⁵³	313	1
148	Beijing	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	54 55	2
149	Ha_erbin	all	tɕʰyan²⁴ pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	54 55	2
150	Jinan	all	tɕʰyæ̃⁵³ pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	54 55	2
151	Rongcheng	all	tsʰiɐn³⁵ pur³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	54 55	2
152	Taiyuan	all	tɕʰye²¹ pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	54 55	2
153	Xi_an	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	54 55	2
154	Chengdu	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰ ɥ a n ²¹ + p u ²¹³	54 55	2
155	Nanjing	all	tɕʰyen¹³ pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	54 55	2
156	Jixi	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	54 55	2
157	Suzhou	all	ziɪ¹³ bu²³¹⁻²¹	z j ɪ ¹³ + b u ²³¹	54 55	2
158	Wenzhou	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	j y ³⁴¹ + b u ²⁴	54 55	2
159	Changsha	all	tɕʰyẽ¹³ pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹	54 55	2
160	Loudi	all	dzuĩ¹³ bu¹¹	dz w ĩ ¹³ + b u ¹¹	54 55	2
161	Nanchang	all	tɕʰyon²⁴ pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	54 55	2
162	Meixian	all	tɕʰien¹¹ pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	54 55	2
163	Guilin	all	tɕyã²² pu²¹	tɕ ɥ ã ²² + p u ²¹	54 55	2
164	Guangzhou	all	tsʰyn²¹ pou²²	tsʰ y n ²¹ + p ou ²²	54 55	2
165	Fuzhou	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	56 467 58	3
166	Xiamen	all	tsuan²⁴⁻²² pɔ²²	ts w a n ²⁴ + p ɔ ²²	54 55	2
3406	Beijing	and	xɤ³⁵	x ɤ ³⁵	448	5
3407	Ha_erbin	and	xɤ²¹	x ɤ ²⁴	448	5
3408	Jinan	and	xɤ⁵³	x ɤ ⁵³	448	5
3409	Rongcheng	and	xɔ³⁵	x ɔ ³⁵	448	5
3410	Taiyuan	and	xɤ²¹	x ɤ ²¹	448	5
3411	Xi_an	and	xuo²⁴	x w o ²⁴	448	5
3412	Chengdu	and	xo²¹	x o ²¹	448	5
3413	Nanjing	and	xo¹³	x o ¹³	448	5
3414	Jixi	and	xɵ⁴⁴	x ɵ ⁴⁴	448	5
3415	Suzhou	and	taʔ⁴	t a ʔ ⁴	223	4
3416	Wenzhou	and	kʰuɔ⁵¹	kʰ w ɔ ⁵¹	650	7
3417	Changsha	and	kən³³	k ə n ³³	651	8
3418	Loudi	and	ɣo¹³	ɣ o ¹³	448	5
3419	Nanchang	and	fo⁴⁵	f o ⁴⁵	448	5
3420	Meixian	and	tʰuŋ¹¹	tʰ u ŋ ¹¹	652	9
3421	Guilin	and	kɤn⁴²	k ɤ n ⁴²	651	8
3422	Guangzhou	and	uɔ²¹	w ɔ ²¹	448	5
3423	Fuzhou	and	kɔyŋ²⁴²	k ɔy ŋ ²⁴²	625	6
3424	Xiamen	and	kaʔ³²*	k a ʔ ³²	448	5
2893	Beijing	animal	tuŋ⁵¹⁻⁵³ u⁵¹⁻³¹	t u ŋ ⁵¹ + u ⁵¹	588 179	11
2894	Ha_erbin	animal	tuŋ⁵³ u⁰	t u ŋ ⁵³ + u ⁰	588 179	11
2895	Jinan	animal	tuŋ³¹ u⁰	t u ŋ ³¹ + u ⁰	588 179	11
2896	Rongcheng	animal	toŋ³³⁴⁻³ u³³⁴	t o ŋ ³³⁴ + u ³³⁴	588 179	11
2897	Taiyuan	animal	tuŋ⁴⁵ və⁰	t u ŋ ⁴⁵ + v ə ⁰	588 179	11
2898	Xi_an	animal	tuŋ⁴⁴ vo²¹	t u ŋ ⁴⁴ + v o ²¹	588 179	11
2899	Chengdu	animal	toŋ²¹³ u²¹	t o ŋ ²¹³ + u ²¹	588 179	11
2900	Nanjing	animal	toŋ⁴⁴⁻⁴² uʔ⁵	t o ŋ ⁴⁴ + u ʔ ⁵	588 179	11
2901	Jixi	animal	tʰɑ̃²¹³⁻³¹ vɤʔ³²*	tʰ ɑ̃ ²¹³ + v ɤ ʔ ³²	588 179	11
2902	Suzhou	animal	tsoŋ⁴⁴ sã⁴⁴⁻²¹	ts o ŋ ⁴⁴ + s ã ⁴⁴	589 590	12
2903	Wenzhou	animal	doŋ²⁴ vai²²⁻²¹	d o ŋ ²⁴ + v ai ²²	588 179	11
2904	Changsha	animal	toŋ¹¹ u²⁴	t o ŋ ¹¹ + u ²⁴	588 179	11
2905	Loudi	animal	dɤn¹¹ u³⁵⁻⁵	d ɤ n ¹¹ + u ³⁵	588 179	11
2906	Nanchang	animal	tʰuŋ²¹ u⁰	tʰ u ŋ ²¹ + u ⁰	588 179	11
2907	Meixian	animal	tʰuŋ⁵³ vut⁵	tʰ u ŋ ⁵³ + v u t ⁵	588 179	11
2908	Guilin	animal	tɤn²⁵ u²²	t ɤ ŋ ²⁵ + u ²²	588 179	11
2909	Guangzhou	animal	toŋ³³ mɐt²	t o ŋ ³³ + m ɐ t ²	588 179	11
2910	Fuzhou	animal	si²¹²⁻²¹ kʰa⁵⁵ βa⁵³	s i ²¹² + kʰ a ⁵⁵ + β a ⁵³	225 279 591	10
2911	Xiamen	animal	tɔŋ²²⁻²¹ but⁵	t ɔ ŋ ²² + b u t ⁵	588 179	11
3625	Beijing	ash	xuei⁵⁵	x w ei ⁵⁵	542	13
3626	Ha_erbin	ash	xuei⁴⁴	x w ei ⁴⁴	542	13
3627	Jinan	ash	xuei²¹³	x w ei ²¹³	542	13
3628	Rongcheng	ash	xuei⁵²	x w ei ⁵²	542	13
3629	Taiyuan	ash	xuei²¹	x w ei ²¹	542	13
3630	Xi_an	ash	xuei²¹	x w ei ²¹	542	13
3631	Chengdu	ash	xuei⁴⁵	x w ei ⁴⁵	542	13
3632	Nanjing	ash	xuei³¹	x w ei ³¹	542	13
3633	Jixi	ash	fa⁵⁵	f a ⁵⁵	542	13
3634	Suzhou	ash	huᴇ⁴⁴	h w e̞ ⁴⁴	542	13
3635	Wenzhou	ash	fai⁴⁴	f ai ⁴⁴	542	13
3636	Changsha	ash	fei³³	f ei ³³	542	13
3637	Loudi	ash	xue⁴⁴	x w e ⁴⁴	542	13
3638	Nanchang	ash	fɨi⁴²	f ɨi ⁴²	542	13
3639	Meixian	ash	foi³³	f oi ³³	542	13
3640	Guilin	ash	fei⁴²	f ei ⁴²	542	13
3641	Guangzhou	ash	fui⁵³	f w i ⁵³	542	13
3642	Fuzhou	ash	huoi⁵⁵⁻⁴⁴ huoi⁵⁵	h w oi ⁵⁵ + h w oi ⁵⁵	542 792	14
3643	Fuzhou	ash	huoi⁵⁵	h w oi ⁵⁵	542	13
3644	Xiamen	ash	he⁵⁵	h e ⁵⁵	542	13
250	Beijing	back	pei⁵¹	p ei ⁵¹	72	15
251	Ha_erbin	back	pei⁵³	p ei ⁵³	72	15
252	Jinan	back	pei³¹	p ei ³¹	72	15
253	Rongcheng	back	pei⁵²	p ei ⁵²	72	15
254	Taiyuan	back	pei⁴⁵	p ei ⁴⁵	72	15
255	Xi_an	back	tɕi²¹ pei²⁴	tɕ i ²¹ + p ei ²⁴	73 72	18
256	Xi_an	back	pei²⁴	p ei ²⁴	72	15
257	Chengdu	back	pei²¹³	p ei ²¹³	72	15
258	Nanjing	back	pei⁴⁴	p ei ⁴⁴	72	15
259	Jixi	back	pa³⁵	p a ³⁵	72	15
260	Suzhou	back	pᴇ⁴¹²	p e̞ ⁴¹²	72	15
261	Wenzhou	back	pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹	p ai ⁴² + dʑ i ²⁴ + s a ŋ ⁴⁴	72 74 75	17
262	Changsha	back	pei⁵⁵	p ei ⁵⁵	72	15
263	Loudi	back	pe³⁵	p e ³⁵	72	15
264	Nanchang	back	pei⁴⁵ tɕiaʔ⁰	p ei ⁴⁵ + tɕ j a ʔ ⁰	72 73	16
265	Meixian	back	poi⁵³	p oi ⁵³	72	15
266	Guilin	back	pei²⁵	p ei ²⁵	72	15
267	Guangzhou	back	pui³³	p w i ³³	72	15
268	Fuzhou	back	pʰiaŋ⁵⁵	pʰ j a ŋ ⁵⁵	72	15
269	Xiamen	back	ka⁵⁵⁻²² tsiaʔ³²*	k a ⁵⁵ + ts j a ʔ ³²	76 73	19
3583	Beijing	bad	xai⁵¹	x ai ⁵¹	663	22
3584	Ha_erbin	bad	xuai⁵³	x w ai ⁵³	663	22
3585	Jinan	bad	xuɛ³¹	x w ɛ ³¹	663	22
3586	Rongcheng	bad	xuai³³⁴	x w ai ³³⁴	663	22
3587	Taiyuan	bad	xuai⁴⁵	x w ai ⁴⁵	663	22
3588	Xi_an	bad	xuɛ⁴⁴	x w ɛ ⁴⁴	663	22
3589	Chengdu	bad	xuai²¹³	x w ai ²¹³	663	22
3590	Nanjing	bad	xuɛ⁴⁴	x w ɛ ⁴⁴	663	22
3591	Jixi	bad	vɔ³¹	v ɔ ³¹	663	22
3592	Suzhou	bad	tɕʰiʏ⁴⁴	tɕʰ j ʏ ⁴⁴	664	23
3593	Suzhou	bad	uɑ⁴¹²	w ɑ ⁴¹²	663	22
3594	Wenzhou	bad	mə³⁴¹	m ə ³⁴¹	777	27
3595	Changsha	bad	fai¹¹	f ai ¹¹	663	22
3596	Changsha	bad	kuai⁴¹	k w ai ⁴¹	665	24
3597	Loudi	bad	ɣua¹¹	ɣ w a ¹¹	663	22
3598	Nanchang	bad	fai²¹	f ai ²¹	663	22
3599	Meixian	bad	fai⁵³	f ai ⁵³	663	22
3600	Meixian	bad	pe³¹	p e ³¹	666	25
3601	Guilin	bad	fai²¹	f ai ²¹	663	22
3602	Guangzhou	bad	uai²²	w ai ²²	663	22
3603	Fuzhou	bad	pʰai³²	pʰ ai ³²	667	26
3604	Fuzhou	bad	ŋai⁵³	ŋ ai ⁵³	574	21
3605	Xiamen	bad	pʰai⁵³	pʰ ai ⁵³	100	20
829	Beijing	bark	ʂu⁵¹⁻⁵³ pʰiər³⁵	ʂ u ⁵¹ + pʰ i ³⁵	134 16	28
830	Ha_erbin	bark	ʂu⁵³ pʰi²⁴	ʂ u ⁵³ + pʰ i ²⁴	134 16	28
831	Jinan	bark	ʂu³¹ pʰi⁵³	ʂ u ³¹ + pʰ i ⁵³	134 16	28
832	Rongcheng	bark	ʃy³³⁴⁻³ pʰi³⁵	ʃ y ³³⁴ + pʰ i ³⁵	134 16	28
833	Taiyuan	bark	su⁴⁵ pʰi²¹	s u ⁴⁵ + pʰ i ²¹	134 16	28
834	Xi_an	bark	fu⁴⁴ pʰi²⁴	f u ⁴⁴ + pʰ i ²⁴	134 16	28
835	Chengdu	bark	su²¹³ pʰi²¹	s u ²¹³ + pʰ i ²¹	134 16	28
836	Nanjing	bark	su⁴⁴⁻⁴² pʰi¹³	s u ⁴⁴ + pʰ i ¹³	134 16	28
837	Jixi	bark	ɕy³¹⁻⁵³ pʰɿ⁴⁴	ɕ y ³¹ + pʰ ɿ ⁴⁴	134 16	28
838	Suzhou	bark	zʯ²³¹⁻²² bi¹³⁻³¹	z ʯ ²³¹ + b i ¹³	134 16	28
839	Wenzhou	bark	zɿ²²⁻⁴² bei³⁴¹⁻²¹	z ɿ ²² + b ei ³⁴¹	134 16	28
840	Changsha	bark	ɕy¹¹ pi¹³	ɕ y ¹¹ + p i ¹³	134 16	28
841	Loudi	bark	ʑy¹¹ bi¹³	ʑ y ¹¹ + b i ¹³	134 16	28
842	Nanchang	bark	su²¹ pʰi²⁴	s u ²¹ + pʰ i ²⁴	134 16	28
843	Meixian	bark	su⁵³⁻⁵⁵ pʰi¹¹	s u ⁵³ + pʰ i ¹¹	134 16	28
844	Guilin	bark	ɕy²¹ pi²²	ɕ y ²¹ + p i ²²	134 16	28
845	Guangzhou	bark	sy²² pʰei²¹	s y ²² + pʰ ei ²¹	134 16	28
846	Fuzhou	bark	tsʰieu²¹²⁻⁵⁵ pʰuoi⁵³	tsʰ j eu ²¹² + pʰ w oi ⁵³	134 16	28
847	Xiamen	bark	tsʰiu²²⁻²¹ pʰe²⁴	tsʰ j u ²² + pʰ e ²⁴	134 16	28
1925	Beijing	because	in⁵⁵ uei⁰	i n ⁵⁵ + w ei ⁰	383 384	29
1926	Ha_erbin	because	in⁴⁴ ʋei⁰	i n ⁴⁴ + ʋ ei ⁰	383 384	29
1927	Ha_erbin	because	yŋ⁴⁴ xu⁰	y ŋ ⁴⁴ + x u ⁰	385 386	30
1928	Jinan	because	iẽ²¹⁴⁻²⁴ vei³¹	j ẽ ²¹⁴ + v ei ³¹	383 384	29
1929	Rongcheng	because	in⁵² uei³⁵	i n ⁵² + w ei ³⁵	383 384	29
1930	Taiyuan	because	iŋ²¹ vei⁴⁵	i ŋ ²¹ + v ei ⁴⁵	383 384	29
1931	Xi_an	because	iẽ²¹ uei²⁴	j ẽ ²¹ + w ei ²⁴	383 384	29
1932	Chengdu	because	in⁴⁵ uei²¹³⁻²¹	i n ⁴⁵ + w ei ²¹³	383 384	29
1933	Nanjing	because	in³¹ ʋei¹³	i n ³¹ + ʋ ei ¹³	383 384	29
1934	Jixi	because	iɑ̃⁵⁵ vi⁵⁵	j ɑ̃ ⁵⁵ + v i ⁵⁵	383 384	29
1935	Suzhou	because	in⁴⁴ ɦuᴇ²³¹⁻²¹	i n ⁴⁴ + ɦ w e̞ ²³¹	383 384	29
1936	Wenzhou	because	iaŋ⁴⁴ vu³⁴¹⁻²¹	j a ŋ ⁴⁴ + v u ³⁴¹	383 384	29
1937	Changsha	because	in³³ uei¹¹	i n ³³ + w ei ¹¹	383 384	29
1938	Loudi	because	in⁴⁴ ui¹¹	i n ⁴⁴ + w i ¹¹	383 384	29
1939	Nanchang	because	in⁴² ui²¹	i n ⁴² + w i ²¹	383 384	29
1940	Meixian	because	in³³⁻³⁵ vi¹¹	i n ³³ + v i ¹¹	383 384	29
1941	Guilin	because	iŋ⁴² uei²²	i ŋ ⁴² + w ei ²²	383 384	29
1942	Guangzhou	because	iɐn⁵³ uɐi²²	j ɐ n ⁵³ + w ɐi ²²	383 384	29
1943	Fuzhou	because	iŋ⁵⁵⁻⁵³ ŋuoi²⁴²	i ŋ ⁵⁵ + ŋ w oi ²⁴²	383 384	29
1944	Xiamen	because	iŋ⁵⁵⁻²² ui²²	i ŋ ⁵⁵ + w i ²²	383 384	29
2912	Beijing	belly	tu⁵¹ tsʰɿ⁰	t u ⁵¹ + tsʰ ɿ ⁰	278 19	33
2913	Ha_erbin	belly	tu⁵³ tsuɿ⁰	t u ⁵³ + ts ɿ ⁰	278 19	33
2914	Jinan	belly	tu³¹⁻⁴⁴ tsɿ⁰	t u ³¹ + ts ɿ ⁰	278 19	33
2915	Rongcheng	belly	tu³³⁴ tsɿ⁰	t u ³³⁴ + ts ɿ ⁰	278 19	33
2916	Taiyuan	belly	tu⁴⁵ tsəʔ⁰	t u ⁴⁵ + ts ə ʔ ⁰	278 19	33
2917	Xi_an	belly	tou⁴⁴ tsɿ⁰	t ou ⁴⁴ + ts ɿ ⁰	278 19	33
2918	Chengdu	belly	tu²¹³ tsɿ⁵³	t u ²¹³ + ts ɿ ⁵³	278 19	33
2919	Chengdu	belly	tu²¹³ pʰi²¹	t u ²¹³ + pʰ i ²¹	278 16	32
2920	Nanjing	belly	tu⁴⁴ tsɿ⁰	t u ⁴⁴ + ts ɿ ⁰	278 19	33
2921	Jixi	belly	tʰu²¹³ tsɿ⁰	tʰ u ²¹³ + ts ɿ ⁰	278 19	33
2922	Suzhou	belly	dəu²³¹⁻²² bi¹³⁻⁴⁴	d əu ²³¹ + b i ¹³	278 16	32
2923	Wenzhou	belly	døy²⁴	d øy ²⁴	278	31
2924	Changsha	belly	təu⁵⁵ tsɿ⁰	t əu ⁵⁵ + ts ɿ ⁰	278 19	33
2925	Loudi	belly	tɤu⁴² tsɿ⁰	t ɤu ⁴² + ts ɿ ⁰	278 19	33
2926	Nanchang	belly	tu²¹³ tsɿ⁰	t u ²¹³ + ts ɿ ⁰	278 19	33
2927	Meixian	belly	tu³¹	t u ³¹	278	31
2928	Guilin	belly	tu²³ tse²³⁻³³	t u ²³ + ts e ²³	278 19	33
2929	Guangzhou	belly	tʰou²³	tʰ ou ²³	278	31
2930	Fuzhou	belly	puʔ²⁴*⁻³⁵ lo³²	p u ʔ ²⁴ + l o ³²	344 27	34
2931	Xiamen	belly	pak³²*⁻⁵ tɔ⁵³	p a k ³² + t ɔ ⁵³	344 278	35
2824	Beijing	big	tɑ⁵¹	t ɑ ⁵¹	34	36
2825	Ha_erbin	big	ta⁵³	t a ⁵³	34	36
2826	Jinan	big	ta³¹	t a ³¹	34	36
2827	Rongcheng	big	ta³³⁴	t a ³³⁴	34	36
2828	Taiyuan	big	ta⁴⁵	t a ⁴⁵	34	36
2829	Xi_an	big	tɑ⁴⁴	t ɑ ⁴⁴	34	36
2830	Chengdu	big	ta²¹³	t a ²¹³	34	36
2831	Nanjing	big	tɑ⁴⁴	t ɑ ⁴⁴	34	36
2832	Jixi	big	tʰɵ³¹	tʰ ɵ ³¹	34	36
2833	Suzhou	big	dəu²³¹	d əu ²³¹	34	36
2834	Wenzhou	big	dɤu²²	d ɤu ²²	34	36
2835	Changsha	big	tai¹¹	t ai ¹¹	34	36
2836	Loudi	big	da¹¹	d a ¹¹	34	36
2837	Nanchang	big	tʰai²¹	tʰ ai ²¹	34	36
2838	Meixian	big	tʰai⁵³	tʰ ai ⁵³	34	36
2839	Guilin	big	tai²¹	t ai ²¹	34	36
2840	Guangzhou	big	tai²²	t ai ²²	34	36
2841	Fuzhou	big	tuai²⁴²	t w ai ²⁴²	34	36
2842	Xiamen	big	tua²²	t w a ²²	34	36
4259	Beijing	bird	niɑur²¹³	n j ɑu ²¹³	745	37
4260	Ha_erbin	bird	niaur²¹³	n j au ²¹³	745	37
4261	Ha_erbin	bird	tɕʰiaur²¹³	tɕʰ j au ²¹³	746	41
4262	Jinan	bird	ȵiɔr⁴⁵	ɲ j ɔ ⁴⁵	745	37
4263	Rongcheng	bird	tsʰyɔr³⁵	tsʰ ɥ ɔ ³⁵	746	41
4264	Taiyuan	bird	niau⁵³	n j au ⁵³	745	37
4265	Xi_an	bird	tɕʰiɑur⁵³	tɕʰ j ɑu ⁵³	745	37
4266	Chengdu	bird	tɕʰyo²¹⁻⁵⁵ ər⁵⁵	tɕʰ ɥ o ²¹ + ə ⁵⁵	746 821	44
4267	Chengdu	bird	tɕʰo²¹⁻⁵⁵ tɕʰo²¹⁻⁵⁵	tɕʰ o ²¹ + tɕʰ o ²¹	746 788	43
4268	Nanjing	bird	liɔ¹¹	l j ɔ ¹¹	745	37
4269	Nanjing	bird	tɕʰioʔ⁵ tsɿ⁰	tɕʰ j o ʔ ⁵ + ts ɿ ⁰	746 19	42
4270	Jixi	bird	ȵie²¹³	ɲ j e ²¹³	745	37
4271	Suzhou	bird	tiæ⁵²	t j æ ⁵²	745	37
4272	Wenzhou	bird	tiɛ²⁴²⁻⁴² ŋ̍⁰	t j ɛ ²⁴² + ŋ̍ ⁰	745 823	40
4273	Changsha	bird	ȵiau⁴¹	ɲ j au ⁴¹	745	37
4274	Loudi	bird	tiɤ⁴² tɕi³⁵⁻⁵	t j ɤ ⁴² + tɕ i ³⁵	745 747	38
4275	Nanchang	bird	ȵiɛu²¹³	ɲ j ɛu ²¹³	745	37
4276	Meixian	bird	tiau³³⁻³⁵ ve⁰	t j au ³³ + v e ⁰	745 822	39
4277	Guilin	bird	tiɑu²³	t j ɑu ²³	745	37
4278	Guangzhou	bird	niu²³	n j u ²³	745	37
4279	Fuzhou	bird	tsɛu³²	ts ɛu ³²	745	37
4280	Xiamen	bird	tsiau⁵³	ts j au ⁵³	745	37
1865	Beijing	bite	iɑu²¹³	j ɑu ²¹³	377	45
1866	Ha_erbin	bite	iau²¹³	j au ²¹³	377	45
1867	Jinan	bite	iɔ⁴⁵	j ɔ ⁴⁵	377	45
1868	Rongcheng	bite	iau²¹⁴	j au ²¹⁴	377	45
1869	Taiyuan	bite	iau⁵³	j au ⁵³	377	45
1870	Xi_an	bite	ȵiɑu⁵³	ɲ j ɑu ⁵³	377	45
1871	Chengdu	bite	ŋau⁵³	ŋ au ⁵³	377	45
1872	Nanjing	bite	iɔ¹¹	j ɔ ¹¹	377	45
1873	Jixi	bite	ŋɤ²¹³	ŋ ɤ ²¹³	377	45
1874	Suzhou	bite	ŋæ²³¹	ŋ æ ²³¹	377	45
1875	Wenzhou	bite	ŋuɔ²⁴²	ŋ w ɔ ²⁴²	377	45
1876	Changsha	bite	ŋa⁴¹	ŋ a ⁴¹	377	45
1877	Loudi	bite	ŋa³⁵	ŋ a ³⁵	377	45
1878	Nanchang	bite	ŋau²¹³	ŋ au ²¹³	377	45
1879	Meixian	bite	ŋat¹	ŋ a t ¹	379	46
1880	Guilin	bite	ŋɑu²³	ŋ ɑu ²³	377	45
1881	Guangzhou	bite	ŋau²³	ŋ au ²³	377	45
1882	Fuzhou	bite	ka²⁴²	k a ²⁴²	377	45
1883	Xiamen	bite	ka²²	k a ²²	377	45
3463	Beijing	black	xei⁵⁵	x ei ⁵⁵	296	47
3464	Ha_erbin	black	xei⁴⁴	x ei ⁴⁴	296	47
3465	Jinan	black	xei²¹⁴	x ei ²¹⁴	296	47
3466	Rongcheng	black	xɛ²¹⁴	x ɛ ²¹⁴	296	47
3467	Taiyuan	black	xəʔ²	x ə ʔ ²	296	47
3468	Xi_an	black	xei²¹	x ei ²¹	296	47
3469	Chengdu	black	xe²¹	x e ²¹	296	47
3470	Nanjing	black	xeʔ⁵	x e ʔ ⁵	296	47
3471	Jixi	black	xɤʔ³²*	x ɤ ʔ ³²	296	47
3472	Suzhou	black	həʔ⁴	h ə ʔ ⁴	296	47
3473	Wenzhou	black	he⁴¹	h e ⁴¹	296	47
3474	Changsha	black	xə²⁴	x ə ²⁴	296	47
3475	Loudi	black	xe¹³	x e ¹³	296	47
3476	Nanchang	black	hɛt⁵	h ɛ t ⁵	296	47
3477	Meixian	black	het¹	h e t ¹	296	47
3478	Guilin	black	xei⁵⁵	x ei ⁵⁵	296	47
3479	Guangzhou	black	hɐk³	h ɐ k ³	296	47
3480	Fuzhou	black	u⁵⁵	u ⁵⁵	372	48
3481	Xiamen	black	ɔ⁵⁵	ɔ ⁵⁵	372	48
1742	Beijing	blood	ɕyɛ²¹³	ɕ y ɛ ²¹³	359	49
1743	Ha_erbin	blood	ɕyɛ²¹³	ɕ y ɛ ²¹³	359	49
1744	Jinan	blood	ɕiə²¹⁴	ɕ j ə ²¹⁴	359	49
1745	Rongcheng	blood	siɛ²¹⁴	s j ɛ ²¹⁴	359	49
1746	Taiyuan	blood	ɕyəʔ²	ɕ y ə ʔ ²	359	49
1747	Xi_an	blood	ɕiɛ²¹	ɕ j ɛ ²¹	359	49
1748	Chengdu	blood	ɕye²¹	ɕ y e ²¹	359	49
1749	Nanjing	blood	ɕyeʔ⁵	ɕ y e ʔ ⁵	359	49
1750	Jixi	blood	ɕyaʔ³²*	ɕ y a ʔ ³²	359	49
1751	Suzhou	blood	ɕyəʔ⁴	ɕ y ə ʔ ⁴	359	49
1752	Wenzhou	blood	ɕy⁴¹	ɕ y ⁴¹	359	49
1753	Changsha	blood	ɕie²⁴	ɕ j e ²⁴	359	49
1754	Loudi	blood	sue¹³	s w e ¹³	359	49
1755	Nanchang	blood	ɕyet⁵	ɕ y e t ⁵	359	49
1756	Meixian	blood	çiat¹	ç j a t ¹	359	49
1757	Guilin	blood	ɕye⁵⁵	ɕ y e ⁵⁵	359	49
1758	Guangzhou	blood	hyt³	h y t ³	359	49
1759	Fuzhou	blood	haiʔ²⁴*	h ai ʔ ²⁴	359	49
1760	Xiamen	blood	huiʔ³²*	h w i ʔ ³²	359	49
2722	Beijing	blow	tʂʰuei⁵⁵	ʈʂʰ w ei ⁵⁵	555	50
2723	Ha_erbin	blow	tsʰuei⁴⁴	tsʰ w ei ⁴⁴	555	50
2724	Jinan	blow	tʂʰuei²¹⁴	ʈʂʰ w ei ²¹⁴	555	50
2725	Rongcheng	blow	tʂʰuei⁵²	ʈʂʰ w ei ⁵²	555	50
2726	Taiyuan	blow	tsʰuei²¹	tsʰ w ei ²¹	555	50
2727	Xi_an	blow	pfʰei²¹	pfʰ ei ²¹	555	50
2728	Chengdu	blow	tsʰuei⁴⁵	tsʰ w ei ⁴⁵	555	50
2729	Nanjing	blow	tsʰuei³¹	tsʰ w ei ³¹	555	50
2730	Jixi	blow	tɕʰy⁵⁵	tɕʰ y ⁵⁵	555	50
2731	Suzhou	blow	tsʰʯ⁴⁴	tsʰ ʯ ⁴⁴	555	50
2732	Wenzhou	blow	tsʰɿ⁴⁴	tsʰ ɿ ⁴⁴	555	50
2733	Changsha	blow	tɕʰuei³³	tɕʰ w ei ³³	555	50
2734	Loudi	blow	tɕʰy⁴⁴	tɕʰ y ⁴⁴	555	50
2735	Nanchang	blow	tsʰui⁴²	tsʰ w i ⁴²	555	50
2736	Meixian	blow	pʰaŋ³³	pʰ a ŋ ³³	751	52
2737	Guilin	blow	tsʰuei⁴²	tsʰ w ei ⁴²	555	50
2738	Guangzhou	blow	tsʰøy⁵⁵	tsʰ øy ⁵⁵	555	50
2739	Fuzhou	blow	tsʰuoi⁵⁵	tsʰ w oi ⁵⁵	555	50
2740	Fuzhou	blow	puŋ⁵³	p u ŋ ⁵³	556	51
2741	Xiamen	blow	pun²⁴	p u n ²⁴	556	51
3271	Beijing	bone	ku²¹⁴	k u ²¹⁴	94	53
3272	Ha_erbin	bone	ku²¹³⁻²¹ tʰou⁰	k u ²¹³ + tʰ ou ⁰	94 319	54
