Word with borrowing2	Full COGID
560	141
560	141
560	141
560	141
560	141
560	141
560	141
560	141
614	143
614	143
569	144
570	145
569	144
571	146
569	144
570	145
569	144
570	145
216	111
569	144
570	145
570	145
572	27
572	27
570	145
572	27
570	145
572	27
569	144
573	147
570	145
569	144
570	145
574	148
575	149
576	150
531 253	151
531 253	151
253	152
533	13
531 253	151
533 531	153
531	154
531 253	151
533 531	153
426 426	155
426	156
533	13
533 531	153
533 531	153
531 253	151
533 531	153
534 531	157
533 531	153
533	13
531 253	151
533 531	153
531	154
533 531	153
533 531	153
535 531	158
255 536	159
593	160
593 594	161
593 594	161
593 594	161
593	160
593 594	161
593	160
593 594	161
593	160
593 594	161
593 594	161
593 594	161
593 594	161
593 594	161
593	160
593 594	161
593 594	161
593 594	161
593	160
593 594	161
593	160
593	160
593	160
253 254	162
253 254	162
253 254	162
253 254	162
253 254	162
254	163
253 254	162
254	163
253 254	162
254	163
254	163
253 254	162
254	163
253 254	162
254 14	164
253 254	162
253 254	162
253 254	162
253 254	162
254	163
253 254	162
253 254	162
253 254	162
253 254	162
255 254	165
253 254	162
537	166
537	166
537	166
538	167
537	166
537	166
537	166
537	166
537	166
539	135
537	166
539	135
539	135
539	135
540	137
537	166
540	137
540	137
540	137
673 674	168
673 674	168
673 674	168
673 674	168
673 674	168
673 674	168
673 674	168
673 674	168
673 17	169
673 674	168
673 675	170
673 674	168
673 674	168
673 674	168
673 675	170
673 674	168
673 674	168
673 675	170
673 675	170
359 360	171
359 360	171
359	172
359 360	171
359 360	171
359	172
359 360	171
359	172
359 360	171
359 360	171
359 360	171
359 362 363	173
359 364 363	174
359 360	171
359 363	175
359 360	171
359 363	175
359 360	171
359 360	171
365 363	176
365 363	176
577	177
577	177
577	177
577	177
577	177
578	178
579	179
577	177
579	179
577	177
579	179
577	177
579	179
578	178
580	180
581	181
577	177
582	182
578	178
579	179
577	177
579	179
583	183
579	179
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
400	184
462 462	185
607	186
462	187
608	188
607 609	189
608	188
607	186
607 609	189
462 462	185
25	190
607	186
607 609	189
462	187
610	191
462 462	185
608	188
607 609	189
462 462	185
607 609	189
608 608	192
232	193
462	187
232 232	194
232 25 467	195
608 608	192
232	193
608 608	192
232 25 467	195
607	186
459	196
462	187
771	197
607	186
462	187
608	188
232	193
55 607	198
462	187
9	199
9	199
9	199
9	199
9	199
9	199
9	199
10	200
9	199
9	199
9	199
11	201
9	199
9	199
9	199
9	199
12	202
13	203
9	199
9	199
13	203
13	203
394 252	204
394 252	204
394 252	204
252	23
394 252	204
394 252	204
252	23
394 252	204
394 252	204
394 252	204
252	23
394 252	204
252	23
394 252	204
252	23
394 252	204
394 252	204
394 252	204
394 252	204
252	23
394 252	204
394 252	204
252 252	205
395 252	206
139	207
139	207
139	207
139	207
139	207
139	207
139	207
140	208
139	207
139	207
139	207
139	207
139	207
139	207
139	207
139	207
139	207
139	207
139	207
139	207
112 558	209
112 558	209
112 559	210
560 559	211
112 558	209
112 559	210
112 558	209
112 561	212
112 558	209
112 562	213
563 564	214
112 558	209
112 558	209
112 277 112	215
112	216
565 112	217
112 558	209
112 558	209
112 558	209
112 566 	218
112 558	209
112 566	219
277 557	220
277 557	220
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
672	221
393	222
393	222
393	222
