var	MP	UPGMA
S	355	364
H	66	75
CI	0.8140845070422535	0.7939560439560439
RCI	0.4923505102471114	0.43738895834704217
RI	0.6047904191616766	0.5508982035928144
D	0.39520958083832336	0.4491017964071856
