var	MP	UPGMA
S	100	102
H	14	16
CI	0.86	0.8431372549019608
RCI	0.6142857142857143	0.5678271308523409
RI	0.7142857142857143	0.673469387755102
D	0.2857142857142857	0.326530612244898
