var	MP	UPGMA
S	394	410
H	90	106
CI	0.7715736040609137	0.7414634146341463
RCI	0.4328339730097809	0.3580725758477097
RI	0.5609756097560976	0.48292682926829267
D	0.4390243902439024	0.5170731707317073
